Deborah Blando;A LUZ QUE ACENDE O OLHAR;A luz que acende o olhar…
Deborah Blando;ÁGUIAS;Eu não consigo mais ter que esconder
Deborah Blando;CHOCOLATE COM PIMENTA;Um frio queimando e um calor de chove...
Deborah Blando;CONTRATO ASSINADO;Você esqueceu um detalhe
Deborah Blando;GATA;Vem que eu tô doida pra pirar te amar
Deborah Blando;INDIVISÍVEL;Corre em minhas veias sonhos
Deborah Blando;INNOCENCE;O céu esconde o que eu queria ver...
Deborah Blando;JUNTO COM O TEU SONHO;No mundo vão tentar tirar o seu valor
Deborah Blando;PRÓPRIAS MENTIRAS;Cuide do seu nariz você fala demais...
Deborah Blando;SOMENTE O SOL;Somente o sol você e eu
Deborah Blando;ÚLTIMA ESTÓRIA;Quando eu fecho os olhos e me sinto
Deborah Blando;UNICAMENTE;Vem sentir a era das águas
Deep Blue Something;BREAKFAST AT TIFFANY'S;You'll say we've got nothing in common...
Deep Purple;SOLDIER OF FORTUNE;I have often told you stories about
Degradée;MAIS QUE UM SONHADOR;Quando a noite vem começo a pensar
Delta Goodrem;BORN TO TRY;Doing everything that I believe in
Demis Roussos;FOREVER AND EVER;Ever and ever forever and ever....
Demônios da Garoa;IRACEMA;La laio...Iracema eu nunca mais...
Demônios da Garoa;SAMBA DO ARNESTO;O Arnesto nos convidô prum samba
Demônios da Garoa;SAMBA ITALIANO;Piove piove
Demônios da Garoa;SAUDOSA MALOCA;Se o sinhô não tá lembrado
Demônios da Garoa;TREM DAS ONZE;Não posso ficar nem mais um minuto
Depeche Mode;CONDEMNATION;Condemnation Tried
Depeche Mode;ENJOY THE SILENCE;Words like violence break the silence
Depeche Mode;STRANGE LOVE;There'll be times
Derek & The Dominos;LAYLA;What'll you do when you get lonely
Destiny's Child;SURVIVOR;Now that you are out of my life
Detonautas;DIA COMUM;Por que você se faz o que não pode ser
Detonautas;NÃO RECLAME MAIS;Não reclame mais no meu ouvido
Detonautas;O AMANHÃ;Quando vem o amanhã incerto
Detonautas;O DIA QUE NÃO TERMINOU;Me sinto tão estranho aqui que mal posso
Detonautas;O INFERNO SÃO OS OUTROS;O que seria da tua beleza
Detonautas;OLHOS CERTOS;Tento te encontrar
Detonautas;OUTRO LUGAR;Ainda vou te levar pra outro lugar…
Detonautas;QUANDO O SOL SE FOR;Penso no que faço…
Detonautas;TÊNIS ROCK;Peguei meu tênis e fui atrás do meu
Detonautas;UM CARA DE SORTE;Hoje eu acordei com uma vontade
Detonautas;VOCÊ ME FAZ TÃO BEM;Quando eu me perco é quando eu te enc
Dhi Ribeiro;AULA DE MATEMÁTICA;Pra que dividir sem raciocinar
Diana;AINDA QUEIMA A ESPERANÇA;Uma vela está queimando hoje é nosso
Diana;FOI TUDO CULPA DO AMOR;Peço perdão mais uma vez se compliquei
Diana;PORQUE BRIGAMOS;Quanto mais eu penso em lhe deixar
Diana King;I SAY A LITTLE PRAYER;Say a little prayer for you
Diana Krall;CRY ME A RIVER;Now you say you're lonely
Diana Pequena;BLOWIN IN THE WIND;Quantos caminhos um homem deve andar...
Diana Ross;DO YOU KNOW WHERE YOU’RE GOIN’ TO;Do you know where you’re goin’ to...
Diana Ross;MISSING YOU;Since you've been away
Diana Ross;ONE LOVE IN MY LIFETIME;Ooh... yeah....From rags to riches here...
Diante do Trono;ACLAME AO SENHOR;Meu Jesus Salvador outro igual não há
CANTOR;TÍTULO;INÍCIO DA LETRA
Diante do Trono;ADORAMOS O CORDEIRO;Jesus...
Diante do Trono;ÁGUAS PURIFICADORAS;Existe um rio Senhor
Diante do Trono;AMIGO FIEL;Não há maior não há igual a ti
Diante do Trono;CORAÇÃO IGUAL AO TEU;Se tu olhares Senhor pra dentro de mim
Diante do Trono;ESPERANÇA;Quando estou só
Diante do Trono;LEVA-ME;Longe de Ti não quero ficar
Diante do Trono;MANANCIAL;Senhor estou aqui para Te adorar
Diante do Trono;ME DERRAMAR;Eis-me aqui outra vez
Diante do Trono;NÃO TEMAS;Não temas não temas não temas....
Diante do Trono;NOS BRAÇOS DO PAI;Pai estou aqui olha para mim
Diante do Trono;O CHEIRO DAS ÁGUAS;Há esperança para o ferido
Diante do Trono;PRECISO DE TI;Preciso de Ti preciso do Teu perdão
Diante do Trono;QUÃO GRANDE ÉS TU;Tu és digno de todo o louvou Senhor...
Diante do Trono;QUERO CELEBRAR;Quero celebar minha nova vida...
Diante do Trono;QUERO ME APAIXONAR;Tenho saudades saudades de Ti
Diante do Trono;SEJA O CENTRO;Seja o centro seja o tudo
Diante do Trono;TUA CHUVA;Posso sentir um cheiro suave no ar
Diante do Trono (Crianças);AMIGO DE DEUS;Eu quero ser amigo amigo de Deus
Diante do Trono (Crianças);ESCONDE-ESCONDE;Deus conhece o meu coração
Diante do Trono (Crianças);O AMOR DO NOSSO DEUS;Jesus deixou toda sua glória
Dick Farney;COPACABANA;Existem praias tão lindas cheia de luz
Dick Farney;MARINA;Marina morena Marina você se pintou
Dick Farney;NEM EU;Não fazes favor nenhum em gostar...
Dick Farney;NICK BAR;Foi neste bar pequenino onde encontre
Dick Farney e part. Claudete Soares;PRECISO APRENDER A SER SÓ;Ah se eu pudesse fazer entender...
Dicró;FUNERAL DO RICARDÃO;Fecharam
Dicró;MELÔ DA GALINHA;Você sai de casa igual uma bonequinha
Dido;HUNTER;With one light on in one room
Dido;THANK YOU;My tea's gone cold,
Dino e Deny;CORUJA;Coruja o nome que eu dei àquele…
Diogo Nogueira;BATENDO A PORTA;Como é que vai saúde boa
Diogo Nogueira;CHEGOU O AMOR;Ela chegou no meu samba bonita de ver
Diogo Nogueira;MALANDRO É MALANDRO E MANÉ É MANÉ;Malandro é malandro e mané é mané
Diogo Nogueira;PRA QUE DISCUTIR COM MADAME;Madame diz que a raça não melhora
Dionne Warwick;I’LL NEVER FALL IN LOVE AGAIN;What do you get when you fall in love...
Dionne Warwick;NO NIGHT'S SO LONG;An old friend told me
Dionne Warwick;THAT'S WHAT FRIENDS ARE FOR;And I never thought I'd feel this way
Dionne Warwick e Bee Gees;HEARTBREAKER;I've got to say it and it's hard for me
Dire Straits;BROTHERS IN ARMS;These mist covered mountains
Dire Straits;YOUR LATEST TRICK;All the late night bargains....
DJ Maluco;BAR DO TOBAS;Tobas é um cara muito conhecido
Djavan;AÇAÍ;Solidão de manhã...
Djavan;ÁLIBI;Havia mais que um desejo
Djavan;BOA NOITE;Meu ar de dominador
Djavan;CAIR EM SI;Às vezes parece um tambor
Djavan;CAPIM;Capim do vale
Djavan;CELEUMA;Não me deixe sem me ouvir falar
Djavan;CIGANO;Te querer viver mais pra ser exato…
Djavan;DELÍRIO DOS MORTAIS;Rio
Djavan;DESANDOU;Me diga já o que foi que aconteceu
Djavan;DESENHO DE GIZ;Quem quer viver um amor
Djavan;DIA AZUL;Tu somente tu…
Djavan;É HORA;É hora de trabalhar
Djavan;EU TE DEVORO;Teus sinais
Djavan;FALTANDO UM PEDAÇO;O amor é um grande laço...
Djavan;FARINHA;A farinha é feita
Djavan;FLOR DE LIS;Valei-me Deus é o fim do nosso amor
Djavan;FLOR DO MEDO;Venha me beijar de uma vez
Djavan;INFINITO;To perdido por alguém
Djavan;LEI;Vou lhe contar nem dá pra crer
Djavan;LILÁS;Amanhã outro dia lua sai
Djavan;LINHA DO EQUADOR;Luz das estrelas laço do infinito
Djavan;MEU BEM QUERER;Meu bem querer é segredo é sagrado
Djavan;MUNDO VASTO;Conta pra pagar a vida é o mesmo bea
Djavan;NEM UM DIA;Um dia frio um bom lugar pra ler
Djavan;OCEANO;Assim que o dia amanheceu
Djavan;OUTONO;Um olhar uma luz ou um par de pérolas
Djavan;PÉTALA;O seu amor reluz que nem riqueza
Djavan;SABES MENTIR;Sabes mentir
Djavan;SAMURAI;Ah! Quanto querer cabe em meu
Djavan;SE ACONTECER;As estrelas brilham sem saber...
Djavan;SE...;Você disse que não sabe se não
Djavan;SERRADO;Se o Senhor me for louvado…
Djavan;SINA;Pai e mãe ouro de mina coração
Djavan;UM AMOR PURO;O que há dentro do meu coração
Djavan & Cássia Eller;MILAGREIRO;Agora vamos ter os girassóis…
Do Jeito Que Eu Gosto;DO JEITO QUE EU GOSTO;La laiá...Foi bom te encontrar eva
Doce Encontro;AMOR JOGADO FORA;Faz tempo que eu não venho aqui
Doce Encontro;LUGARES PROIBIDOS;Eu gosto do claro
Doce Encontro;PERDOA;Perdoa
Doce Encontro;TÔ DE SACO CHEIO;La laiá laiá laiá laiá
Dolores Duran;A NOITE DO MEU BEM;Hoje eu quero a rosa mais linda
Domenico Modugno;DIO COME TI AMO;Nel cielo passano le nuvole
Domenico Modugno;NEL BLU DIPINTO DI BLU;Penso che un sogno cosi non ritorni m
CANTOR;TÍTULO;INÍCIO DA LETRA
Domenico Modugno;PIOVE;Ciao ciao bambina un bacio ancora
Dominguinhos;EU SÓ QUERO UM XODÓ;Qua falta eu sinto de um bem
Dominguinhos;ISSO AQUI TÁ BOM DEMAIS;Olha isso aqui tá muito bom
Dominó;COM TODOS MENOS COMIGO;Vai por aí com uns e com outros e passa por mim
Dominó;COMPANHEIRO;O sol está brilhando ô ô ô
Dominó;ELA NÃO GOSTA DE MIM;Eu levo jeito no esporte sou bom
Dominó;MANEQUIM;Um sonho vindo na passarela
Dominó;P DA VIDA;Tô p da vida
Don Beto;PENSANDO NELA;Quando a chuva me molhar pelas ruas v
Don Gibson;NEVER ON SUNDAY;Oh you can kiss me on a monday
Don McLean;CRYING;I was all right for a while...
Donato e Estefano;MI DIOS Y MI CRUZ;Uh...uh...
Donizete;GALOPEIRA(GALOPERA);Foi num baile em Assuncion...
Donny Osmond;A TIME FOR US;A time for us someday will be
Doobie Brothers;LISTEN TO THE MUSIC;Don't you feel it growin'
Doobie Brothers;WHAT A FOOL BELIEVES;He came from somewhere back in her long
Doors;BREAK ON THROUGH;You know the day destroys the night
Doors;LIGHT MY FIRE;You know that it would be untrue...
Dori Edson;VOCÊ É CRIANÇA PRA MIM;Pegue sua boneca e vê se vai brincar
Doris Day;QUE SERA SERA;When I was just a little girl
Dóris Monteiro;É ISSO AÍ (ISSO É PROBLEMA DELA);Preparei uma roda de samba só pra el
Dorival Caymmi;O BEM E O MAL;Eu guardo em mim dois corações
Dorival Caymmi;RETIRANTES;Lê lê lê lê lê lê lê lê lê lê
Dorival Caymmi;VATAPÁ;Quem quiser vatapá ô que procure faze
Dorival Caymmi e Nana Caymmi;ACALANTO;É tão tarde a manhã já vem
Double;THE CAPTAIN OF HER HEART;It was way past midnight...
Double You;LOOKING AT MY GIRL;It happened long ago when I don't know
Double You;RUN TO ME;You gotta run to me oh can't you see
Double You;SHE'S BEAUTIFUL;Tell me baby what you are going to do
Double You;WE ALL NEED LOVE;We all need love we all need love
Dr. Silvana e Cia;EH OH EH OH;Você parece preocupado
Dr. Silvana e Cia;SERÃO EXTRA;New Iguaçu três e meia da madrugada
Dr.Hook;SEXY EYES;I was sitting all alone…
Drifters;MY GIRL;I've got sunshine on a cloudy day
Drifters;SAVE THE LAST DANCE FOR ME;You can dance every dance with the guy
Duda;NÃO FAZ ASSIM COMIGO NÃO;Não faz assim comigo não vai machucar
Dudu França;GRILO NA CUCA;Grilo na cuca grilo na cuca
Dudu Nobre;A GRANDE FAMÍLIA;Esta família é muito unida
Dudu Nobre;FELIZ DA VIDA;Neném vem me dar um...
Dudu Nobre;GOIABADA CASCÃO;Goiabada cascão em caixa...
Dudu Nobre;NO MEXE MEXE NO BOLE BOLE;Tô querendo esse seu amor...
Dudu Nobre;TEMPO DE DON DON;No tempo que Don Don jogava no...
Duduca e Dalvan;RASTROS NA AREIA;O sonho que tive esta noite
Dulca Pontes;CANÇÃO DO MAR;Fui bailar no batel além do mar...
Duran Duran;A VIEW TO A KILL;Meeting you with a view to a kill
Duran Duran;NOTORIOUS;No no notorious notorious
Duran Duran;SAVE A PRAYER;You saw me standing by the wall
É o Tchan;A LOURINHA;Sei que a lourinha geladinha
É o Tchan;A NOVA LOIRA DO TCHAN;Luz na passarela que lá vem ela...
É o Tchan;BAMBOLÊ;Vem na pegada do bambo do bambo...
É o Tchan;DANÇA DO PÕE, PÕE;Olha o Tchan que já chegou
É o Tchan;DENGO DE MULHERES;Toda moça tem um dengo
É o Tchan;DISQUE TCHAN (ALÔ, É TCHAN);Pega no compasso no passo dessa
É o Tchan;ESTÁTUA;Venha comigo requebrar
É o Tchan;MALHAÇÃO;Vou lhe dizer é bom malhar
É o Tchan;MELÔ DO TCHACO II;Frente do tchaco pro lado e prá trás
É o Tchan;RALANDO O TCHAN;Essa é a mistura do Brasil com o Egito
É o Tchan;TRIBOTCHAN;Uh uh... Essa a tribotchan...
É o Tchan;LAMBA TCHAN;Pi pará pirô pi para pirô...
Eagles;DESPERADO;Desperado You've been out ridin fences…
Eagles;HOTEL CALIFORNIA;On a dark desert highway
Eagles;LOVE WILL KEEP US ALIVE;I was standing
Eagles;ONE OF THESE NIGHTS;One of these nights
Eagles;THE GIRL FROM YESTERDAY;It wasn't really sad the way they said
Eagles;WAITING IN THE WEEDS;It's comin' on the end of August
Eagles;WHAT DO I DO WITH MY HEART;You don't have to say a word
Earl Grant;THE END;At the end of a rainbow
Ed Motta;BANANEIRA;Bananeira não sei bananeira será
Ed Motta;COLOMBINA;Se você voltar pra mim...
Ed Motta;FORA DA LEI;Cidade nua, noite neon
Ed Motta;MANUEL;Manuel foi pro céu
Ed Motta;TEM ESPAÇO NA VAN;Se arruma aqui que tá bom
Ed Motta;VENDAVAL;Tá tudo bem mas não me leve a mal
Ed Motta;VOCÊ MENTIU PRA MIM;É um absurdo quase o fim...
Ed Motta e Flávio Venturini;NASCENTE;Clareia manhã...
Ed Motta e Maria Rita;A TURMA DA PILANTRAGEM;Essa pilantragem que eu quero com voc
Ed Wilson;BIQUÍNI DE BOLINHA AMARELINHO;Ana Maria entrou na cabine
Ednardo;PAVÃO MYSTERIOZO;Pavão mysterioso passaro formoso.....
Edoardo Vianello;O MIO SIGNORE;O mio Signore in questo mondo
Edson;COMO EU QUERIA TE AMAR;Mais uma vez
Edson;UMA CANÇÃO PRA VOCÊ;Como uma flecha em meu coração
Edson Cordeiro;IT'S RAINING MEN;Humidity is rising barometer's gettin
Edson Cordeiro;TIPO ZERO;Você é um tipo que não tem tipo
Edson Cordeiro;Y.M.C.A.;Young man
CANTOR;TÍTULO;INÍCIO DA LETRA
Edson e Hudson;A FORÇA DA PAIXÃO;Deus fez a Terra e o mar...
Edson e Hudson;AZUL;Foi na manhã em que eu te encontrei…
Edson e Hudson;CIÚME EXAGERADO;Já sofri já chorei
Edson e Hudson;ENTRA NA ARENA;Se você quer se divertir
Edson e Hudson;FALA;Fala que entendi errado
Edson e Hudson;FOI DEUS;Foi Deus
Edson e Hudson;MIL RAZÕES PARA CHORAR;Não sei por que aqui voltei...
Edson e Hudson;NÃO VOU DAR MORAL;Vai chorar vai sofrer vai me ligar
Edson e Hudson;O BICHO VAI PEGAR;O chão vai tremer o bicho vai pegar
Edson e Hudson;POR QUE CHORA A TARDE;Por que chora a tarde
Edson e Hudson;PORTA RETRATO;Parecia um sonho a gente ficar junto...
Edson e Hudson;PRA NÃO CHORAR;Às vezes por impulso
Edson e Hudson;SAUDADE;Saudade bate no peito ela vem pra ma
Edson e Hudson;TE QUERO PRA MIM;Chego em casa já é de manhã
Edson e Hudson e Bruno e Marrone;IMPREVISÍVEL;Como esquecer o seu olhar
Edu Ribeiro;DE MAIS NINGUÉM;Se você quiser me ensinar
Edu Ribeiro;ME NAMORA;Lembro que te vi caminhar
Edu Ribeiro;O SOL, A LIS E O BEIJA-FLOR;Tchururururu... Flor de lis não vá dizer
Eduardo Andrade;SÓ DEUS PODE AMAR-TE MAIS;Pedi a Deus alguém pra mim
Eduardo Araújo;O BOM;Meu carro é vermelho
Eduardo Araújo;RUA AUGUSTA;Entrei na rua Augusta a cento e vinte
Eduardo Costa;A CARTA;Estou escrevendo esta carta meio aos
Eduardo Costa;ACABOU O AMOR;Olha estou tentando entender
Eduardo Costa;AMOR DE VIOLEIRO;Moça eu não sei falar
Eduardo Costa;AMORES IMORTAIS;Amores imortais
Eduardo Costa;CACHACEIRO;Dizem que eu sou cachaceiro
Eduardo Costa;CANSEI DE SER PALHAÇO;Brigou chingou me deixou jogando amor
Eduardo Costa;CENA DE UM FILME;Eu amei um alguém que me amou pra val
Eduardo Costa;COMIGO A FILA ANDA;Beber eu bebo chorar eu choro
Eduardo Costa;CORAÇÃO ABERTO;A gente tem que conversar
Eduardo Costa;EU APOSTO;Eu aposto
Eduardo Costa;EU DUVIDO;Você pode revirar o mundo
Eduardo Costa;ME APAIXONEI;A primeira vez que eu te vi
Eduardo Costa;MELHOR OU PIOR;Vou caminhar por uma estrada
Eduardo Costa;NÃO VALEU PRA VOCÊ;Não valeu pra você foi uma noite ape
Eduardo Costa;PRESENTE DE DEUS;Hoje quando parei pra pensar
Eduardo Costa;PRIMEIRO DE ABRIL;Se eu bebi
Eduardo Costa;TÔ INDO EMBORA;O que eu não tenho em casa
Eduardo Costa - Paula Fernandes;MEU GRITO DE AMOR;Me dei demais
Eduardo Costa e Amado Batista;AMIGO;Amigo fica um pouco aqui comigo
Eduardo Costa e Bruno e Marrone;VOCÊ FOI ATRIZ;Vou tentar te esquecer mas não vou pro
Eduardo Duzek;ALÔ, ALÔ BRASIL;Alô alô... quem fala é do Brasil
Eduardo Duzek;BARRADOS NO BAILE;Uapa pararu rara uapapa para...
Eduardo Duzek;CABELOS NEGROS;Eu quero seus cabelos negros
Eduardo Duzek;CANTANDO NO BANHEIRO;Cantando no banheiro berrando no chuv
Eduardo Duzek;DOMÉSTICA;Foi trabalhar recomendada
Eduardo Duzek;EU QUERO;Tchuru... Eu quero seus cabelos negros...
Eduardo Duzek;GULA;Comer
Eduardo Duzek;LUZ DE VELAS;Oh, oh, oh,... Vi seu olhar, seu olhar
Eduardo Duzek;NOSTRADAMUS;Naquela manhã eu acordei tarde de bo
Eduardo Duzek;ROCK DA CACHORRA;Uau... Bap thuba... Troque seu cachorro...
Eduardo Duzek;TAMANHO NÃO É DOCUMENTO;Eu sou pequeno por fora mas grande por
Elba Ramalho;AI QUE SAUDADE D'OCÊ;Não se admire se um dia um...
Elba Ramalho;AMPLIDÃO;Deixa eu te guardar a casa é sua
Elba Ramalho;BANHO DE CHEIRO;Eu quero um banho de cheiro
Elba Ramalho;BATE CORAÇÃO;Bate bate bate coração
Elba Ramalho;CANÇÃO DA DESPEDIDA;Já vou embora mas sei que vou voltar
Elba Ramalho;CASA, COMIDA E PAIXÃO;Lá se vai o meu amor...
Elba Ramalho;CHÃO DE GIZ;Desço dessa solidão
Elba Ramalho;CIRANDA DA ROSA VERMELHA;Teu beijo doce tem sabor do mel da cana
Elba Ramalho;DE VOLTA PRO ACONCHEGO;Estou de volta pro meu aconchego
Elba Ramalho;DO JEITO QUE A GENTE GOSTA;Cai cai morena no fuá que ainda é cedo
Elba Ramalho;É SÓ VOCÊ QUERER;O meu amor é seu
Elba Ramalho;ENTRE O CÉU E O MAR;Quantos labirintos tem o meu coração..
Elba Ramalho;ESTRADA DO SERTÃO;Coisa que não arrenego nem tão…
Elba Ramalho;FOLIA BRASILEIRA;Tem que ter molejo meu bem
Elba Ramalho;JOGO DE CINTURA;Você tem que ter jogo de cintura
Elba Ramalho;O MEU AMOR;O meu amor
Elba Ramalho;SETE CANTIGAS PARA VOAR;Cantiga de campo de concentração
Elba Ramalho;TOQUE DE FOLE;Toque sanfoneiro um forró bem animad
Elba, Zé Ramalho, Alceu e Zé Geraldo;TAXI LUNAR;Ela me deu o seu amor eu tomei...
Eliana;A FORÇA DO MESTRE;Para ser um grande mestre Pokémon...
Eliana;CORRE COTIA;Vamos brincar de roda vamos vamos...
Eliana;PERNA E PÉ;Cabeça ombro perna e pé perna e pé...
Eliana;PRIMAVERA;Respiramos alegria é a primavera..
Eliana;DEDINHOS;Ou ou dedinhos...
Eliana de Lima;APENAS MATRIZ;Você diz que eu te faço infeliz
Eliana de Lima;DESEJO DE AMAR;Foi sem querer que derramei toda
Eliana de Lima;DRINK DO AMOR;Olá você não sabe como é bom te ver
Eliana de Lima;QUERO FICAR COM VOCÊ;Ah... Os meus olhos querem te
Eliana de Lima;SAUDADE DANADA;Como dói a solidão preciso do
Eliana de Lima;VOLTA PRA ELA;Quando você chegou em mim
Eliana e Molejo;DIA DE ALEGRIA;Hoje é dia de folia...
Elias Muniz;FLOR DE MAIO;Você é a flor mais pura o amor mais
CANTOR;TÍTULO;INÍCIO DA LETRA
Elis Regina;ÁGUAS DE MARÇO;É pau é pedra
Elis Regina;ALÔ ALÔ MARCIANO;Alô, Alô marciano...
Elis Regina;ALTOS E BAIXOS;Foi quem sabe esse disco
Elis Regina;AOS NOSSOS FILHOS;Perdoem a cara amarrada
Elis Regina;APRENDENDO A JOGAR;Vivendo e aprendendo a jogar…
Elis Regina;ARRASTÃO;Ê tem jangada no mar
Elis Regina;AS APARÊNCIAS ENGANAM;As aparências enganam
Elis Regina;ATRÁS DA PORTA;Quando olhaste bem nos olhos meus...
Elis Regina;BALA COM BALA;A sala cala o jornal prepara
Elis Regina;BASTA DE CLAMARES INOCÊNCIA;Basta de clamares inocência
Elis Regina;BOA NOITE AMOR;Boa noite amor meu grande amor
Elis Regina;CAI DENTRO;Até que eu vou gostar
Elis Regina;CARTOMANTE;Nos dias de hoje é bom que se proteja...
Elis Regina;CASA NO CAMPO;Eu quero uma casa no campo...
Elis Regina;CAXANGÁ;Sempre no coração
Elis Regina;CHOVENDO NA ROSEIRA;Olha está chovendo na roseira
Elis Regina;COMO NOSSOS PAIS;Não quero lhe falar meu grande amor
Elis Regina;CORRIDA DE JANGADA;Meu mestre deu a partida
Elis Regina;DOIS PRA LÁ, DOIS PRA CÁ;Sentindo frio em minh'alma
Elis Regina;É COM ESSE QUE EU VOU;É com esse que eu vou sambar até cair
Elis Regina;FASCINAÇÃO;Os sonhos mais lindos sonhei
Elis Regina;GRACIAS A LA VIDA;Gracias a la vida que me ha dado
Elis Regina;LAPINHA;Quando eu morrer me enterre na Lapinha
Elis Regina;MADALENA;Oh Madalena o meu peito percebeu
Elis Regina;ME DEIXAS LOUCA;Quando caminho pela rua lado
Elis Regina;NADA SERÁ COMO ANTES;Eu já estou com o pé nessa estrada…
Elis Regina;O BÊBADO E A EQUILIBRISTA;Caía a tarde feito um viaduto
Elis Regina;O CAVALEIRO E OS MOINHOS;Acreditar na existência dourada
Elis Regina;O MESTRE-SALA DOS MARES;Há muito tempo nas águas da....
Elis Regina;O QUE FOI FEITO DEVERÁ;O que foi feito amigo…
Elis Regina;O RANCHO DA GOIABADA;Os bóias frias quando tomam
Elis Regina;QUERO;Quero ver o sol atrás do muro
Elis Regina;ROMARIA;É de sonho e de pó o destino de um só
Elis Regina;SABIÁ;Vou voltar sei que ainda vou voltar
Elis Regina;TIRO AO ÁLVARO;De tanto levar frechada do teu olhar
Elis Regina;TRANSVERSAL DO TEMPO;As coisas que eu sei de mim
Elis Regina;TRISTE;Triste é viver na solidão
Elis Regina;UPA NEGUINHO;Upa neguinho na estrada upa pra lá...
Elis Regina;VELHA ROUPA COLORIDA;Você não sente, não vê...
Elis Regina;VOU DEITAR E ROLAR;Não venha querer se consolar
Elis Regina e Tom Jobim;SÓ TINHA QUE SER COM VOCÊ;É só eu sei quanto amor eu guardei…
Elizângela;PERTINHO DE VOCÊ;Uh uh uh ... Pertinho de você, em cada vez que
Elizeth Cardoso;CANÇÃO DA VOLTA;Nunca mais vou fazer o que meu coração
Elizeth Cardoso;ÚLTIMA FORMA;É como eu falei não ia durar
Elson;TALISMÃ;Sabe quanto tempo eu não te vejo
Elton John;BENNIE AND THE JETS;Hey kids shake it loose together...
Elton John;BLUE EYES;Blue eyes baby’s got blue eyes...
Elton John;CAN YOU FEEL THE LOVE TONIGHT;There's a calm surrender to the rush of
Elton John;CANDLE IN THE WIND;Goodbye England's rose
Elton John;CROCODILE ROCK;I remember when the rock was young
Elton John;DANIEL;Daniel is travelin’ tonight on a plane...
Elton John;DON’T GO BREAKING MY HEART;Don’t go breaking my heart...
Elton John;EMPTY GARDEN;What happened here…
Elton John;FRIENDS;I hope the day will be a lighter...
Elton John;GOODBYE YELLOW BRICK ROAD;When are you gonna come down...
Elton John;I DON'T WANNA GO ON WITH YOU LIKE THA;I've always said that one's enough to lo
Elton John;LITTLE JEANNIE;Oh little Jeannie you got so much love
Elton John;NIKITA;Hey Nikita is it cold...
Elton John;ROCKET MAN;She packed my bags last night preflight…
Elton John;SACRIFICE;It’s a human sign when things go wrong...
Elton John;SAD SONGS;Guess there are times
Elton John;SKYLINE PIGEON;Turn me loose from your hands...
Elton John;YOUR SONG;It's a little bit funny this feeling in
Elton John & George Michael;DON'T LET THE SUN GO DOWN ON ME;I can't light no more of your darkness
Elvis Costello;SHE;She maybe the face I can't forget
Elvis Presley;ARE YOU LONESOME TONIGHT?;Are you lonesome tonight?
Elvis Presley;BURNING LOVE;Lord almighty I feel my temperature
Elvis Presley;CANT HELP FALLIN' IN LOVE;Wise man say only fools rush in
Elvis Presley;DON’T BE CRUEL;Ah, you know I can be found...
Elvis Presley;I REALLY DON'T WANT TO KNOW;How many arms have held you
Elvis Presley;IN THE GHETTO;As the snow flies…
Elvis Presley;IT'S NOW OR NEVER;It's now or never come hold me tight
Elvis Presley;KISS ME QUICK;Mmm, Kiss me quick...
Elvis Presley;LOVE ME TENDER;Love me tender love me sweet
Elvis Presley;RETURN TO SENDER;Return to sender return to sender..
Elvis Presley;SURRENDER;When we kiss my heart’s on fire...
Elvis Presley;SUSPICIOUS MINDS;We’re caught in a trap I can’t walk out...
Elvis Presley;TEDDY BEAR;A-baby let me be your lovin' teddy bear....
Elvis Presley;THE WONDER OF YOU;When no one else can understand me
Elvis Presley;TOO MUCH;Well honey I love you too much…
Elvis Presley;YOU’VE LOST THAT LOVIN’ FEELIN’;You never close your eyes...
Elymar Santos;AMOR SEM CENSURA;Se a cabeça não pensar
Elymar Santos;CORAÇÃO VADIO;Coração cigano coração vadio
Elymar Santos;DEZ A DEZ;Eu gosto tanto dessas nossas aventura
CANTOR;TÍTULO;INÍCIO DA LETRA
Elymar Santos;ESCANCARANDO DE VEZ;Tem certas coisas, que são muito...
Elymar Santos;JAMAIS DEIXEI DE AMAR VOCÊ;Tá certo, não tenho palavras...
Elymar Santos;MAL DE AMOR;Independe de mim
Elymar Santos;PÔXA;Pôxa...como foi bacana te encontrar
Elymar Santos;TEU JOGO;Conheço esse jogo
Elza Soares;CADEIRA VAZIA;Entra meu amor fica à vontade…
Elza Soares;MULATA ASSANHADA;Ô mulata assanhada
Elza Soares;SAMBA DA MINHA TERRA;O samba da minha terra deixa
Emílio Santiago;CADÊ JUÍZO;Meu bem não trate o amor assim
Emílio Santiago;ESSA FASE DO AMOR;Essa fase do amor é bonita demais
Emílio Santiago;FLAMBOYANT;Por quantas noites eu me vi desencantar
Emílio Santiago;LA SIGNORA DI TRENT'ANNI FA;Il cuor mio indiscreto pace ancor non
Emílio Santiago;LESÕES CORPORAIS;Nós dois já não somos os mesmos não
Emílio Santiago;LOGO AGORA;Logo agora
Emílio Santiago;MASCARADO;Vejo agora este teu lindo olhar
Emílio Santiago;MULHER;Não sei que intensa magia
Emílio Santiago;PERFUME SIAMÊS;Mas que prazer te rever que bom
Emílio Santiago;ROSA MORENA;Rosa morena
Emílio Santiago;SAIGON;Tantas palavras meias palavras
Emílio Santiago;TÁ TUDO ERRADO;Tá tudo errado entre nós o coração me diz
Emílio Santiago;TRISTEZA DE NÓS DOIS;Quando a noite vem
Emílio Santiago;VERDADE CHINESA;Era só isso que eu queria da vida
Emílio Santiago;VOCÊ;Você manhã de todo meu você
